Date,GD=F,^GSPC,^IXIC
2006-06-01,469.6000061035156,1285.7099609375,2219.860107421875
2006-06-02,482.70001220703125,1288.219970703125,2219.409912109375
2006-06-05,482.0,1265.2900390625,2169.6201171875
2006-06-06,477.75,1263.8499755859375,2162.780029296875
2006-06-07,470.1000061035156,1256.1500244140625,2151.800048828125
2006-06-08,465.75,1257.9300537109375,2145.320068359375
2006-06-09,470.8999938964844,1252.300048828125,2135.06005859375
2006-06-12,465.04998779296875,1237.43994140625,2091.320068359375
2006-06-13,452.04998779296875,1223.68994140625,2072.469970703125
2006-06-14,456.20001220703125,1230.0400390625,2086.0
2006-06-15,463.3999938964844,1256.1600341796875,2144.14990234375
2006-06-16,463.5199890136719,1251.5400390625,2129.949951171875
2006-06-19,462.6000061035156,1240.1300048828125,2110.419921875
2006-06-20,460.70001220703125,1240.1199951171875,2107.06005859375
2006-06-21,467.1000061035156,1252.199951171875,2141.199951171875
2006-06-22,469.0,1245.5999755859375,2122.97998046875
2006-06-23,468.20001220703125,1244.5,2121.469970703125
2006-06-26,473.3999938964844,1250.56005859375,2133.669921875
2006-06-27,473.29998779296875,1239.199951171875,2100.25
2006-06-28,473.5,1246.0,2111.840087890625
2006-06-29,481.79998779296875,1272.8699951171875,2174.3798828125
2006-06-30,484.6499938964844,1270.199951171875,2172.090087890625
2006-07-03,486.0,1280.18994140625,2190.429931640625
2006-07-05,490.1000061035156,1270.9100341796875,2153.340087890625
2006-07-06,491.20001220703125,1274.0799560546875,2155.090087890625
2006-07-07,484.0,1265.47998046875,2130.06005859375
2006-07-10,481.29998779296875,1267.3399658203125,2116.929931640625
2006-07-11,486.04998779296875,1272.4300537109375,2128.860107421875
2006-07-12,490.70001220703125,1258.5999755859375,2090.239990234375
2006-07-13,500.0,1242.280029296875,2054.110107421875
2006-07-14,502.5,1236.199951171875,2037.3499755859375
2006-07-17,489.0,1234.489990234375,2037.719970703125
2006-07-18,481.9200134277344,1236.8599853515625,2043.219970703125
2006-07-19,487.04998779296875,1259.81005859375,2080.7099609375
2006-07-20,483.3999938964844,1249.1300048828125,2039.4200439453125
2006-07-21,484.1000061035156,1240.2900390625,2020.3900146484375
2006-07-24,489.5,1260.9100341796875,2061.840087890625
2006-07-25,483.6499938964844,1268.8800048828125,2073.89990234375
2006-07-26,487.0,1268.4000244140625,2070.4599609375
2006-07-27,491.5,1263.199951171875,2054.469970703125
2006-07-28,486.04998779296875,1278.550048828125,2094.139892578125
2006-07-31,498.0,1276.6600341796875,2091.469970703125
2006-08-01,498.5,1270.9200439453125,2061.989990234375
2006-08-02,505.5,1277.4100341796875,2078.81005859375
2006-08-03,499.20001220703125,1280.27001953125,2092.340087890625
2006-08-04,496.5,1279.3599853515625,2085.050048828125
2006-08-07,503.3999938964844,1275.77001953125,2072.5
2006-08-08,500.20001220703125,1271.47998046875,2060.85009765625
2006-08-09,502.20001220703125,1265.949951171875,2060.280029296875
2006-08-10,489.6000061035156,1271.81005859375,2071.739990234375
2006-08-11,487.70001220703125,1266.739990234375,2057.7099609375
2006-08-14,479.75,1268.2099609375,2069.0400390625
2006-08-15,479.4100036621094,1285.5799560546875,2115.010009765625
2006-08-16,482.0,1295.4300537109375,2149.5400390625
2006-08-17,471.8999938964844,1297.47998046875,2157.610107421875
2006-08-18,474.79998779296875,1302.300048828125,2163.949951171875
2006-08-21,480.25,1297.52001953125,2147.75
2006-08-22,482.0,1298.8199462890625,2150.02001953125
2006-08-23,475.20001220703125,1292.989990234375,2134.659912109375
2006-08-24,479.1000061035156,1296.06005859375,2137.110107421875
2006-08-25,479.79998779296875,1295.0899658203125,2140.2900390625
2006-08-28,467.5,1301.780029296875,2160.699951171875
2006-08-29,464.6000061035156,1304.280029296875,2172.300048828125
2006-08-30,464.20001220703125,1305.3699951171875,2185.72998046875
2006-08-31,466.0,1303.8199462890625,2183.75
2006-09-01,458.3999938964844,1311.010009765625,2193.159912109375
2006-09-05,457.20001220703125,1313.25,2205.699951171875
2006-09-06,452.5,1300.260009765625,2167.840087890625
2006-09-07,449.70001220703125,1294.02001953125,2155.2900390625
2006-09-08,442.79998779296875,1298.9200439453125,2165.7900390625
2006-09-11,436.1000061035156,1299.5400390625,2173.25
2006-09-12,427.29998779296875,1313.0,2215.820068359375
2006-09-13,427.0,1318.0699462890625,2227.669921875
2006-09-14,419.0,1316.280029296875,2228.72998046875
2006-09-15,420.5,1319.6600341796875,2235.590087890625
2006-09-18,423.8500061035156,1321.1800537109375,2235.75
2006-09-19,425.70001220703125,1317.6400146484375,2222.3701171875
2006-09-20,418.0,1325.1800537109375,2252.889892578125
2006-09-21,423.45001220703125,1318.030029296875,2237.75
2006-09-22,417.3500061035156,1314.780029296875,2218.929931640625
2006-09-25,418.5,1326.3699951171875,2249.070068359375
2006-09-26,418.6000061035156,1336.3499755859375,2261.340087890625
2006-09-27,426.5,1336.5899658203125,2263.389892578125
2006-09-28,426.3999938964844,1338.8800048828125,2270.02001953125
2006-09-29,427.79998779296875,1335.8499755859375,2258.429931640625
2006-10-02,420.5,1331.3199462890625,2237.60009765625
2006-10-03,409.20001220703125,1334.1099853515625,2243.64990234375
2006-10-04,413.70001220703125,1350.199951171875,2290.949951171875
2006-10-05,419.6000061035156,1353.219970703125,2306.340087890625
2006-10-06,420.0,1349.5899658203125,2299.989990234375
2006-10-09,425.1000061035156,1350.6600341796875,2311.77001953125
2006-10-10,418.0,1353.4200439453125,2315.429931640625
2006-10-11,414.75,1349.949951171875,2308.27001953125
