Date,0,1,2,3,4,5,6,7,8
2020-08-18,3389.780029296875,0.009434406645596,27778.0703125,11210.83984375,21.51000022888184,1.19475,1.32526,9.051428571428572e-07,1.68
2020-08-19,3374.85009765625,0.0095035349950194,27692.880859375,11146.4599609375,22.540000915527344,1.1842,1.31092,8.97857142857143e-07,1.67
2020-08-20,3385.510009765625,0.009426936507225,27739.73046875,11264.9501953125,22.71999931335449,1.18698,1.32192,8.905714285714287e-07,1.62
2020-08-21,3397.159912109375,0.0094638718292117,27930.330078125,11311.7998046875,22.540000915527344,1.17888,1.3088,8.832857142857144e-07,1.64
2020-08-24,3431.280029296875,0.009444922208786,28308.4609375,11379.7197265625,22.3700008392334,1.1794,1.30696,8.774285714285714e-07,1.67
2020-08-25,3443.6201171875,0.0094345854595303,28248.439453125,11466.4697265625,22.030000686645508,1.18343,1.315,8.78142857142857e-07,1.7
2020-08-26,3478.72998046875,0.009398054331541,28331.919921875,11665.0595703125,23.270000457763672,1.18386,1.32173,8.78857142857143e-07,1.72
2020-08-27,3484.550048828125,0.0094467950984835,28492.26953125,11625.33984375,24.46999931335449,1.1818,1.31971,8.795714285714286e-07,1.73
2020-08-28,3508.010009765625,0.0093776080757379,28653.869140625,11695.6298828125,22.959999084472656,1.18924,1.33506,8.802857142857143e-07,1.77
2020-08-31,3500.31005859375,0.0094755291938781,28430.05078125,11775.4599609375,26.40999984741211,1.1937,1.33635,8.841428571428572e-07,1.8
2020-09-01,3526.64990234375,0.0094336066395044,28645.66015625,11939.669921875,26.1200008392334,1.1109,1.3069,8.857142857142857e-07,1.76
2020-09-02,3580.840087890625,0.0094432272017002,29100.5,12056.4404296875,26.56999969482422,1.09485,1.28896,8.872857142857144e-07,1.73
2020-09-03,3455.06005859375,0.0094154868274927,28292.73046875,11458.099609375,33.599998474121094,1.13972,1.30725,8.88857142857143e-07,1.65
2020-09-04,3426.9599609375,0.0094263143837451,28133.310546875,11313.1298828125,30.75,1.09252,1.2454,8.904285714285714e-07,1.7
2020-09-07,3426.9599609375,0.0094063645228743,28133.310546875,11313.1298828125,30.75,1.12874,1.26039,8.831428571428571e-07,1.7
2020-09-08,3331.840087890625,0.0094068953767418,27500.890625,10847.6904296875,31.459999084472656,1.1782,1.30507,8.787142857142856e-07,1.68
2020-09-09,3398.9599609375,0.0094368113204836,27940.470703125,11141.5595703125,28.809999465942383,1.18037,1.2998,8.742857142857144e-07,1.71
2020-09-10,3339.18994140625,0.0094134481623768,27534.580078125,10919.58984375,29.709999084472656,1.18252,1.3044,8.698571428571429e-07,1.69
2020-09-11,3340.969970703125,0.0094212526455521,27665.640625,10853.5498046875,26.8700008392334,1.18241,1.31684,8.654285714285715e-07,1.65
2020-09-14,3383.5400390625,0.0094210756942629,27993.330078125,11056.650390625,25.850000381469727,1.18677,1.28478,8.604285714285715e-07,1.65
2020-09-15,3401.199951171875,0.0094593958929181,27995.599609375,11190.3203125,25.59000015258789,1.18437,1.2882,8.60142857142857e-07,1.67
2020-09-16,3385.489990234375,0.0094893770292401,28032.380859375,11050.4697265625,26.040000915527344,1.18031,1.29578,8.598571428571429e-07,1.68
2020-09-17,3357.010009765625,0.009518189355731,27901.98046875,10910.2802734375,26.459999084472656,1.1848,1.29742,8.595714285714285e-07,1.66
2020-09-18,3319.469970703125,0.0095512811094522,27657.419921875,10793.2802734375,25.82999992370605,1.18381,1.2919,8.592857142857143e-07,1.67
2020-09-21,3281.06005859375,0.0095659904181957,27147.69921875,10778.7998046875,27.780000686645508,1.1764,1.2818,8.407142857142856e-07,1.62
2020-09-22,3315.570068359375,0.0095520103350281,27288.1796875,10963.6396484375,26.86000061035156,1.17078,1.27425,8.315714285714285e-07,1.62
2020-09-23,3236.919921875,0.0095207272097468,26763.130859375,10632.990234375,28.57999992370605,1.16575,1.2714,8.224285714285714e-07,1.6
2020-09-24,3246.590087890625,0.009496315382421,26815.439453125,10672.26953125,28.51000022888184,1.16728,1.27548,8.132857142857144e-07,1.58
2020-09-25,3298.4599609375,0.0094845164567232,27173.9609375,10913.5595703125,26.3799991607666,1.16272,1.27284,8.041428571428571e-07,1.58
2020-09-28,3351.60009765625,0.0094720292836427,27584.060546875,11117.5302734375,26.190000534057617,1.16784,1.28718,7.921428571428571e-07,1.61
2020-09-29,3335.469970703125,0.0094846962019801,27452.66015625,11085.25,26.270000457763672,1.17405,1.28638,7.907142857142857e-07,1.64
2020-09-30,3363.0,0.0094639612361788,27781.69921875,11167.509765625,26.3700008392334,1.17237,1.2916,7.892857142857143e-07,1.63
2020-10-01,3380.800048828125,0.0094830775633454,27816.900390625,11326.509765625,26.700000762939453,1.1119,1.3057,7.878571428571429e-07,1.63
2020-10-02,3348.419921875,0.0094748111441731,27682.810546875,11075.01953125,27.6299991607666,1.09102,1.2915,7.864285714285714e-07,1.64
2020-10-05,3408.60009765625,0.0094777746126055,28148.640625,11332.490234375,27.959999084472656,1.08387,1.2414,8.004285714285715e-07,1.68
2020-10-06,3360.969970703125,0.0094601111486554,27772.759765625,11154.599609375,29.479999542236328,1.13653,1.27087,8.081428571428572e-07,1.66
2020-10-07,3419.43994140625,0.0094661116600036,28303.4609375,11364.599609375,28.059999465942383,1.12888,1.26053,8.158571428571428e-07,1.71
2020-10-08,3446.830078125,0.0094370786100626,28425.509765625,11420.98046875,26.36000061035156,1.17374,1.30758,8.235714285714285e-07,1.72
2020-10-09,3477.139892578125,0.0094323605298995,28586.900390625,11579.9404296875,25.0,1.18237,1.28065,8.312857142857143e-07,1.73
2020-10-12,3534.219970703125,0.0094668278470635,28837.51953125,11876.259765625,25.06999969482422,1.2143,1.33034,8.29e-07,1.73
2020-10-13,3511.929931640625,0.0094931600615382,28679.810546875,11863.900390625,26.06999969482422,1.17419,1.29323,8.24e-07,1.7
2020-10-14,3488.669921875,0.009481368586421,28514.0,11768.73046875,26.399999618530277,1.17438,1.30046,8.189999999999999e-07,1.69
2020-10-15,3483.340087890625,0.00951121840626,28494.19921875,11713.8701171875,26.96999931335449,1.17062,1.29006,8.14e-07,1.69
2020-10-16,3483.81005859375,0.0094912676140666,28606.310546875,11671.5595703125,27.40999984741211,1.17093,1.29052,8.09e-07,1.71
2020-10-19,3426.919921875,0.0094852363690733,28195.419921875,11478.8798828125,29.18000030517578,1.17679,1.2948,7.960000000000001e-07,1.71
2020-10-20,3443.1201171875,0.009481368586421,28308.7890625,11516.490234375,29.350000381469727,1.1829,1.2951,7.920000000000001e-07,1.72
2020-10-21,3435.56005859375,0.0094807399436831,28210.8203125,11484.6904296875,28.649999618530277,1.18519,1.3131,7.880000000000001e-07,1.74
2020-10-22,3453.489990234375,0.0095532881096005,28363.66015625,11506.009765625,28.11000061035156,1.18145,1.30759,7.84e-07,1.76
2020-10-23,3465.389892578125,0.0095309810712933,28335.5703125,11548.2802734375,27.549999237060547,1.18542,1.304,7.799999999999999e-07,1.75
2020-10-26,3400.969970703125,0.0095526492223143,27685.380859375,11358.9404296875,32.459999084472656,1.1809,1.30149,7.751428571428571e-07,1.72
2020-10-27,3390.679931640625,0.0095390724018216,27463.189453125,11431.349609375,33.349998474121094,1.178,1.30294,7.747142857142857e-07,1.71
